Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1
1,3.018067975971779,0.2050526792794834,0.05659200673533192,4.303619863061001,0.10805300713557595,0.02847972442904914
2,1.9327804316774262,0.41894188285940864,0.1874318804002398,1.598345214073811,0.5412844036697247,0.27801551595208907
3,1.0157928911451442,0.6813186813186813,0.4148624564758749,0.9869449296614932,0.6952089704383282,0.4660721873022061
4,0.46679614447677636,0.8624674294777388,0.6641294415131428,0.7192246059637429,0.7798165137614679,0.5778913287066694
5,0.20706378826134011,0.9421094369547978,0.8200362129438168,0.2381050706547699,0.9347604485219164,0.8429392555132151
6,0.10930291403722686,0.970884785317775,0.895467334908778,0.20330889314170034,0.9306829765545361,0.7838291230822042
7,0.08798481442960186,0.9771156678373173,0.9350375404868896,0.16950090209005075,0.9541284403669725,0.8784695441876367
8,0.06379633005638821,0.9844794380876856,0.9488096695679752,0.18690994509498643,0.9378185524974516,0.8782223739726013
9,0.04117621894378455,0.9900305879687323,0.9547785855687224,0.06957689510581486,0.9826707441386341,0.9335492530403866
10,0.03761464815366926,0.9902571655148975,0.9614099908681024,0.09126731303732208,0.9785932721712538,0.9122003636797807
11,0.02942042441164413,0.9935425399342925,0.973776431776108,0.11810503044867249,0.9673802242609582,0.8871982183647749
12,0.018037903832886386,0.9958083153959443,0.9865092336529322,0.0521630999688192,0.9887869520897044,0.9681563989498133
13,0.024588419504947324,0.99342925116121,0.9760083674993392,0.10433724306041525,0.9724770642201835,0.8837998696264228
14,0.037956994049794655,0.9899172991956497,0.9787645449749536,0.10018168688750807,0.9745158002038736,0.9190263986277726
15,0.01718343905403989,0.9953551603036139,0.9839568590162608,0.03542748160819759,0.9898063200815495,0.9507262612835266
16,0.01430678893004334,0.9962614704882746,0.9920370258829518,0.05801454419602434,0.9867482161060143,0.9443830850430257
17,0.023277663164599588,0.9938824062535403,0.9850457867296732,0.16283029747916106,0.9490316004077471,0.8992576416166697
18,0.04062445693900145,0.9892375665571542,0.9769061187735096,0.12253805635939376,0.9592252803261978,0.8746148886086971
19,0.017948460805869645,0.9958083153959443,0.977067833885725,0.06329624335092628,0.9806320081549439,0.9380811408106013
20,0.022826207229105597,0.9926362297496318,0.975240876480068,0.037851635839459725,0.9898063200815495,0.9714843936455284
21,0.01563221320901716,0.9964880480344398,0.9871377397441453,0.01945834189167324,0.9938837920489296,0.970648526631552
22,0.010503384077351132,0.9971677806729353,0.9952510699631743,0.029445484556939128,0.9908256880733946,0.9650435231671265
23,0.015540030260739267,0.9955817378497791,0.9887051106786503,0.10900930369322195,0.9806320081549439,0.9227825512535653
24,0.027308045351845944,0.9918432083380537,0.9845449363395632,0.16923356705006293,0.9520897043832823,0.8885004354216188
25,0.020523624999634983,0.9941089837997055,0.9822730245319159,0.05261266995582133,0.9847094801223242,0.9646843782678617
26,0.019797850184708535,0.9950152939843662,0.9887754638217245,0.06321226667648867,0.9857288481141692,0.9460103753181438
27,0.005563137025644211,0.9985272459499264,0.989747963408404,0.015710458052465664,0.9959225280326198,0.9757928076379019
28,0.006227772584587862,0.9983006684037612,0.9976052215669692,0.027342294319081865,0.9949031600407747,0.9755857350170362
29,0.01205697887627444,0.9966013368075224,0.9947573515807171,0.08757717642319844,0.9755351681957186,0.9518508048637156
30,0.02603631908158639,0.9925229409765493,0.9826151771918613,0.15020890432152664,0.9490316004077471,0.8965091468960323
31,0.026192270860817043,0.99342925116121,0.9714943949323248,0.046246461456339656,0.9836901121304791,0.935048619230649
32,0.008667861306639452,0.9981873796306786,0.9960961341080404,0.016738359171816004,0.9959225280326198,0.9773284294228726
33,0.006549638692770498,0.9983006684037612,0.9943509984490465,0.05040694769304797,0.9898063200815495,0.9448002643167946
34,0.022467822139913694,0.9921830746573015,0.97588587351436,0.2581824189114644,0.9500509683995922,0.9242961795964579
35,0.01939690870628431,0.9937691174804577,0.9855277303553456,0.0273824096256231,0.9918450560652395,0.9591157639650528
